route,takeoff_s,return_s,expected_slack_s,hard_slack_s,energy_kWh,prep_start_s,load_start_s,uav_id,battery_id,battery_ready_s,load_duration_s,prep_duration_s
1,300,1667.42408454078,2518.6479577296,2518.6479577296,1.9052737570512,0,0,U01,A-B01,2717.83650324446,60,300
2,300,1314.16907732905,2597.73046133547,Inf,2.72035151440251,0,0,U07,C-B01,2884.2642791464,180,300
3,300,2225.32881982756,1924.56587728211,1924.56587728211,2.5497273659853,0,0,U02,A-B02,3461.91672555665,90,300
4,300,1661.19052452575,9642.76973773713,9642.76973773713,4.12740835264021,0,0,U08,C-B02,3612.36362003247,150,300
5,300,1089.10020729324,2802.32656302004,2802.32656302004,1.22038782145247,0,0,U05,B-B01,2284.60159658931,60,300
6,300,1220.89950207717,2721.42691562808,2721.42691562808,1.26431586769051,0,0,U03,A-B03,2086.14630829887,90,300
7,300,1594.86272755268,2555.03196955699,2555.03196955699,2.0221568141948,0,0,U04,A-B04,2679.04136276451,60,300
8,300,1871.83143566032,5998.85761550316,5998.85761550316,2.97517223709886,0,0,U06,B-B02,3827.73940506983,90,300
9,1280.89950207717,2171.79900415433,1770.52741355092,Inf,1.28231579118994,300,1220.89950207717,U03,A-B05,3042.24578827587,60,300
10,1149.10020729324,2545.79450739161,1650.61264265755,Inf,2.58905755076488,300,1089.10020729324,U05,B-B03,4334.38611272306,60,300
11,1654.86272755268,3272.26387580079,913.808166469588,Inf,2.15221032284876,300,1594.86272755268,U04,A-B06,4394.01352462377,60,300
12,1961.83143566032,3652.35473920387,4279.93357923452,4279.93357923452,2.77983477639618,300,1871.83143566032,U06,B-B04,5523.61647564221,90,300
13,2635.79450739161,4168.53485813565,82.9053172363137,82.9053172363137,2.75236124069306,1149.10020729324,2545.79450739161,U05,B-B01,6027.89139576931,90,300
14,3827.73940506983,5369.57084073015,2501.11821043334,2501.11821043334,2.76339885804312,1961.83143566032,3652.35473920387,U06,B-B02,7233.71034588216,60,300
15,1554.16907732905,3514.61166928744,705.884523120122,705.884523120122,6.25066569554872,300,1314.16907732905,U07,C-B03,6040.83362849855,240,300
16,1841.19052452575,2922.74439248739,1029.38754149343,1029.38754149343,2.59793490935578,300,1661.19052452575,U08,C-B04,4459.68509710458,180,300
17,3132.74439248739,5316.33681087969,2674.24886392263,Inf,6.25040310692154,1841.19052452575,2922.74439248739,U08,C-B01,7842.48765233761,210,300
18,2086.14630829887,4071.42568866168,820.263489529695,820.263489529695,2.8169549522988,300,1667.42408454078,U01,A-B03,5385.21267488133,60,300
19,2679.04136276451,4476.72919687544,197.368435064051,197.368435064051,2.6711974700446,300,2225.32881982756,U02,A-B04,5748.40846599943,90,300
20,2717.83650324446,4046.44973507576,7316.26688083987,7316.26688083987,2.331286075951,1280.89950207717,2171.79900415433,U03,A-B01,5219.93237923939,60,300
21,3724.61166928744,5862.35230298705,2055.20604325453,2055.20604325453,6.38730956233081,1554.16907732905,3514.61166928744,U07,C-B02,8425.58197611831,210,300
22,3332.26387580079,4194.28682245849,6934.53798420369,6934.53798420369,1.15198598927393,1654.86272755268,3272.26387580079,U04,A-B05,5027.0827749154,60,300
23,4334.38611272306,5772.66275015004,2038.03556856343,2038.03556856343,2.30738138387581,2635.79450739161,4168.53485813565,U05,B-B03,7439.19468316289,90,300
