box_id,area,category,sortie_id,uav_id,battery_id,arrival_s,expected_s,hard_deadline_s,priority
S007-WAT-01,S007,饮用水,Q2-001,U01,A-B02,3479.69568037128,3600,3600,12
S007-MED-01,S007,医疗物资,Q2-001,U01,A-B02,3479.69568037128,3600,3600,24
S001-WAT-02,S001,饮用水,Q2-002,U07,C-B01,1002.26953866453,3600,Inf,12
S001-FOD-02,S001,应急食品,Q2-002,U07,C-B01,1002.26953866453,7200,Inf,10
S001-WAT-07,S001,饮用水,Q2-002,U07,C-B01,1002.26953866453,3600,Inf,12
S001-WAT-04,S001,饮用水,Q2-002,U07,C-B01,1002.26953866453,3600,Inf,12
S001-WAT-08,S001,饮用水,Q2-002,U07,C-B01,1002.26953866453,3600,Inf,12
S001-HYG-01,S001,生活卫生用品,Q2-002,U07,C-B01,1002.26953866453,10800,Inf,8
S010-MED-01,S010,医疗物资,Q2-003,U01,A-B01,1752.19552942783,3600,3600,24
S014-MED-01,S014,医疗物资,Q2-003,U01,A-B01,1289.5229792042,7200,3600,22
S014-WAT-01,S014,饮用水,Q2-003,U01,A-B01,1289.5229792042,3600,3600,12
S005-WAT-02,S005,饮用水,Q2-004,U08,C-B02,5250.18459205483,10800,Inf,8
S005-WAT-03,S005,饮用水,Q2-004,U08,C-B02,5250.18459205483,10800,Inf,8
S005-FOD-01,S005,应急食品,Q2-004,U08,C-B02,5250.18459205483,14400,Inf,6
S005-HYG-01,S005,生活卫生用品,Q2-004,U08,C-B02,5250.18459205483,18000,Inf,4
S005-WAT-01,S005,饮用水,Q2-004,U08,C-B02,5250.18459205483,10800,10800,8
S001-WAT-01,S001,饮用水,Q2-005,U05,B-B01,797.673436979956,3600,3600,12
S001-WAT-05,S001,饮用水,Q2-005,U05,B-B01,797.673436979956,3600,Inf,12
S001-MED-01,S001,医疗物资,Q2-006,U02,A-B02,878.573084371918,3600,3600,24
S001-WAT-03,S001,饮用水,Q2-006,U02,A-B02,878.573084371918,3600,Inf,12
S001-MED-02,S001,医疗物资,Q2-006,U02,A-B02,878.573084371918,3600,3600,24
S010-FOD-01,S010,应急食品,Q2-007,U03,A-B03,1417.35348330658,7200,Inf,10
S010-WAT-01,S010,饮用水,Q2-007,U03,A-B03,1417.35348330658,3600,3600,12
S008-WAT-02,S008,饮用水,Q2-008,U05,B-B02,5262.39312964943,7200,Inf,10
S008-FOD-01,S008,应急食品,Q2-008,U05,B-B02,5262.39312964943,10800,Inf,8
S008-MED-01,S008,医疗物资,Q2-008,U05,B-B02,5262.39312964943,7200,7200,20
S001-FOD-03,S001,应急食品,Q2-009,U04,A-B03,3599.9999,7200,Inf,10
S001-WAT-06,S001,饮用水,Q2-009,U04,A-B03,3599.9999,3600,Inf,12
S002-FOD-02,S002,应急食品,Q2-010,U05,B-B03,2006.25198977198,7200,Inf,10
S002-WAT-03,S002,饮用水,Q2-010,U05,B-B03,2006.25198977198,3600,Inf,12
S007-WAT-02,S007,饮用水,Q2-011,U03,A-B06,3343.58812010127,3600,Inf,12
S011-FOD-01,S011,应急食品,Q2-011,U03,A-B06,2815.45715411905,14400,Inf,6
S003-WAT-01,S003,饮用水,Q2-012,U06,B-B04,3598.9624267142,7200,7200,10
S003-FOD-01,S003,应急食品,Q2-012,U06,B-B04,3598.9624267142,10800,Inf,8
S003-MED-01,S003,医疗物资,Q2-012,U06,B-B04,3598.9624267142,7200,7200,20
S012-WAT-01,S012,饮用水,Q2-013,U06,B-B02,1724.85511729432,3600,3600,12
S012-MED-01,S012,医疗物资,Q2-013,U06,B-B02,1724.85511729432,7200,3600,22
S012-FOD-01,S012,应急食品,Q2-013,U06,B-B02,1724.85511729432,7200,Inf,10
S008-HYG-01,S008,生活卫生用品,Q2-014,U06,B-B03,5262.39312964943,14400,Inf,6
S008-WAT-01,S008,饮用水,Q2-014,U06,B-B03,5262.39312964943,7200,7200,10
S001-HYG-02,S001,生活卫生用品,Q2-015,U07,C-B03,2112.43861599358,10800,Inf,8
S001-FOD-01,S001,应急食品,Q2-015,U07,C-B03,2112.43861599358,7200,Inf,10
S002-WAT-02,S002,饮用水,Q2-015,U07,C-B03,2894.11547687988,3600,Inf,12
S002-WAT-01,S002,饮用水,Q2-015,U07,C-B03,2894.11547687988,3600,3600,12
S002-WAT-04,S002,饮用水,Q2-015,U07,C-B03,2894.11547687988,3600,Inf,12
S002-FOD-01,S002,应急食品,Q2-015,U07,C-B03,2894.11547687988,7200,Inf,10
S002-HYG-01,S002,生活卫生用品,Q2-015,U07,C-B03,2894.11547687988,10800,Inf,8
S002-MED-01,S002,医疗物资,Q2-015,U07,C-B03,2894.11547687988,3600,3600,24
S006-FOD-01,S006,应急食品,Q2-016,U08,C-B02,1029.42193398082,7200,Inf,10
S006-HYG-01,S006,生活卫生用品,Q2-016,U08,C-B02,1029.42193398082,10800,Inf,8
S006-MED-01,S006,医疗物资,Q2-016,U08,C-B02,1029.42193398082,3600,3600,24
S006-WAT-01,S006,饮用水,Q2-016,U08,C-B02,1029.42193398082,3600,3600,12
S006-WAT-03,S006,饮用水,Q2-016,U08,C-B02,1029.42193398082,3600,Inf,12
S006-WAT-02,S006,饮用水,Q2-016,U08,C-B02,1029.42193398082,3600,Inf,12
S003-WAT-02,S003,饮用水,Q2-017,U07,C-B01,5117.61841287742,7200,Inf,10
S003-WAT-03,S003,饮用水,Q2-017,U07,C-B01,5117.61841287742,7200,Inf,10
S003-WAT-04,S003,饮用水,Q2-017,U07,C-B01,5117.61841287742,7200,Inf,10
S003-FOD-02,S003,应急食品,Q2-017,U07,C-B01,5117.61841287742,10800,Inf,8
S003-HYG-01,S003,生活卫生用品,Q2-017,U07,C-B01,5117.61841287742,14400,Inf,6
S007-HYG-01,S007,生活卫生用品,Q2-017,U07,C-B01,4514.35489795239,10800,Inf,8
S007-FOD-01,S007,应急食品,Q2-017,U07,C-B01,4514.35489795239,7200,Inf,10
S013-WAT-01,S013,饮用水,Q2-018,U04,A-B04,993.590203171453,3600,3600,12
S014-FOD-01,S014,应急食品,Q2-018,U04,A-B04,1567.63114220189,7200,Inf,10
S013-FOD-01,S013,应急食品,Q2-019,U02,A-B05,2034.4897042486,7200,Inf,10
S013-MED-01,S013,医疗物资,Q2-019,U02,A-B05,2034.4897042486,3600,3600,24
S009-MED-01,S009,医疗物资,Q2-019,U02,A-B05,2545.87072027245,10800,10800,16
S009-FOD-01,S009,应急食品,Q2-020,U02,A-B04,5370.36556489727,14400,Inf,6
S009-WAT-01,S009,饮用水,Q2-020,U02,A-B04,5370.36556489727,10800,10800,8
S004-WAT-02,S004,饮用水,Q2-021,U08,C-B04,3011.73615541967,7200,Inf,10
S004-WAT-03,S004,饮用水,Q2-021,U08,C-B04,3011.73615541967,7200,Inf,10
S004-FOD-01,S004,应急食品,Q2-021,U08,C-B04,3011.73615541967,10800,Inf,8
S004-HYG-01,S004,生活卫生用品,Q2-021,U08,C-B04,3011.73615541967,14400,Inf,6
S004-MED-01,S004,医疗物资,Q2-021,U08,C-B04,3011.73615541967,7200,7200,20
S004-WAT-01,S004,饮用水,Q2-021,U08,C-B04,3011.73615541967,7200,7200,10
S005-MED-01,S005,医疗物资,Q2-021,U08,C-B04,2304.78413022452,10800,10800,16
S011-WAT-01,S011,饮用水,Q2-022,U04,A-B01,5604.25737415073,10800,10800,8
S011-MED-01,S011,医疗物资,Q2-022,U04,A-B01,5604.25737415073,10800,10800,16
S015-MED-01,S015,医疗物资,Q2-023,U05,B-B01,3523.36233696605,7200,7200,18
S015-WAT-01,S015,饮用水,Q2-023,U05,B-B01,3523.36233696605,10800,10800,8
S015-FOD-01,S015,应急食品,Q2-023,U05,B-B01,3523.36233696605,14400,Inf,6
