uav_id,prior_route,next_route,prior_return_s,idle_before_loading_s,return_to_next_takeoff_s,loaded_wait_s,fixed_prep_lead_s
U01,1,18,1667.42408454078,0,418.722223758087,358.722223758087,1486.14630829887
U02,3,19,2225.32881982756,0,453.712542936953,363.712542936953,2079.04136276451
U03,6,9,1220.89950207717,0,60,0,680.899502077166
U03,9,20,2171.79900415433,0,546.03749909013,486.03749909013,1136.9370011673
U04,7,11,1594.86272755268,0,60,0,1054.86272755268
U04,11,22,3272.26387580079,0,60,0,1377.40114824811
U05,5,10,1089.10020729324,0,60,0,549.100207293244
U05,10,13,2545.79450739161,0,90,0,1186.69430009837
U05,13,23,4168.53485813565,0,165.851254587411,75.8512545874109,1398.59160533145
U06,8,12,1871.83143566032,0,90,0,1361.83143566032
U06,12,14,3652.35473920387,0,175.384665865954,115.384665865954,1565.9079694095
U07,2,15,1314.16907732905,0,240,0,954.169077329051
U07,15,21,3514.61166928744,0,210,0,1870.44259195839
U08,4,16,1661.19052452575,0,180,0,1241.19052452575
U08,16,17,2922.74439248739,0,210,0,991.553867961642
