route,providers,gateway_s,relay_s
1,G01 + R01 + R02,564.230904190807,803.193180349975
2,G01,1014.16907732905,0
3,G01 + R01 + R02,764.270197310682,1161.05862251688
4,G01 + R01 + R02,583.860435916503,777.330088609247
5,G01,789.100207293243,0
6,G01,920.899502077166,0
7,G01 + R01,394.346669817112,900.516057735568
8,G01 + R01 + R02,674.763150881507,897.068284778814
9,G01,890.899502077166,0
10,G01 + R01 + R02,584.545517233596,812.148782864771
11,G01 + R01 + R02,732.599194683015,884.801953565098
12,G01 + R01 + R02,803.026348337951,887.496955205599
13,G01 + R01 + R02,700.214568161868,832.525782582169
14,G01 + R01 + R02,659.763150881507,882.068284778813
15,G01 + R01 + R02,698.99460275144,1261.44798920695
16,G01,1081.55386796164,0
17,G01 + R01,517.253162274206,1666.3392561181
18,G01 + R01,930.898778558892,1054.38060180392
19,G01 + R01 + R02,668.573458773086,1129.11437533784
20,G01 + R01,636.149668454353,692.463563376949
21,G01 + R01 + R02,533.183522642204,1604.5571110574
22,G01,862.022946657694,0
23,G01 + R01 + R02,658.509637440763,779.766999986213
