route,original_takeoff_s,final_takeoff_s,delay_s,group_unchanged,order_unchanged,uav_unchanged,battery_unchanged
1,300,2698.34363810088,2398.34363810088,1,1,1,0
2,300,300,0,1,1,1,1
3,300,376.761406709938,76.7614067099382,1,1,0,0
4,300,4392.95432979195,4092.95432979195,1,1,1,1
5,300,300,0,1,1,1,1
6,300,300,0,1,1,0,0
7,300,672.38545286357,372.38545286357,1,1,0,0
8,300,4361.25074515259,4061.25074515259,1,1,0,1
9,1280.89950207717,3051.42681562808,1770.52731355092,1,1,0,0
10,1149.10020729324,1205.96483972278,56.8646324295323,1,1,1,1
11,1654.86272755268,2312.25901412354,657.396286570857,1,1,0,1
12,1961.83143566032,2640.72744160904,678.896005948719,1,1,1,1
13,2635.79450739161,843.554941922245,-1792.23956546937,1,1,0,0
14,3827.73940506983,4391.25074515259,563.511340082766,1,1,1,0
15,1554.16907732905,1554.16907732905,0,1,1,1,1
16,1841.19052452575,300,-1541.19052452575,1,1,1,0
17,3132.74439248739,3724.61166928744,591.867276800048,1,1,0,1
18,2086.14630829887,300.000001000016,-1786.14630729885,1,1,0,0
19,2679.04136276451,1310.89950207717,-1368.14186068735,1,1,1,0
20,2717.83650324446,4604.4689489816,1886.63244573714,1,1,0,0
21,3724.61166928744,1591.55386796164,-2133.0578013258,1,1,0,0
22,3332.26387580079,5071.05923415521,1738.79535835442,1,1,1,0
23,4334.38611272306,2695.78401825254,-1638.60209447052,1,1,1,0
