sortie_id,uav_type,uav_id,battery_id,box_ids,service_order,mass_kg,volume_m3,energy_kWh,flight_s,operation_s,start_s,return_s
Q2-001,A,U01,A-B02,S007-WAT-01;S007-MED-01,S007,17,0.039,1.9052737570512,1157.42408454078,1367.42408454078,2698.34363810088,4065.76772264166
Q2-002,C,U07,C-B01,S001-WAT-02;S001-FOD-02;S001-WAT-07;S001-WAT-04;S001-WAT-08;S001-HYG-01,S001,70,0.171,2.72035151440251,618.169077329051,1014.16907732905,300,1314.16907732905
Q2-003,A,U01,A-B01,S010-MED-01;S014-MED-01;S014-WAT-01,S014→S010,20,0.051,2.5497273659853,1535.32881982756,1925.32881982756,376.761406709938,2302.0902265375
Q2-004,C,U08,C-B02,S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S005-WAT-01,S005,56,0.144,4.12740835264021,1001.19052452575,1361.19052452575,4392.95432979195,5754.1448543177
Q2-005,B,U05,B-B01,S001-WAT-01;S001-WAT-05,S001,28,0.054,1.22038782145247,579.100207293244,789.100207293244,300,1089.10020729324
Q2-006,A,U02,A-B02,S001-MED-01;S001-WAT-03;S001-MED-02,S001,20,0.051,1.26431586769051,680.899502077166,920.899502077166,300,1220.89950207717
Q2-007,A,U03,A-B03,S010-FOD-01;S010-WAT-01,S010,22,0.055,2.0221568141948,1084.86272755268,1294.86272755268,672.38545286357,1967.24818041625
Q2-008,B,U05,B-B02,S008-WAT-02;S008-FOD-01;S008-MED-01,S008,25,0.067,2.97517223709886,1331.83143566032,1571.83143566032,4361.25074515259,5933.08218081291
Q2-009,A,U04,A-B03,S001-FOD-03;S001-WAT-06,S001,22,0.055,1.28231579118994,680.899502077166,890.899502077166,3051.42681562808,3942.32631770525
Q2-010,B,U05,B-B03,S002-FOD-02;S002-WAT-03,S002,22,0.055,2.58905755076488,1186.69430009837,1396.69430009837,1205.96483972278,2602.65913982114
Q2-011,A,U03,A-B06,S007-WAT-02;S011-FOD-01,S011→S007,22,0.055,2.15221032284876,1257.40114824811,1617.40114824811,2312.25901412354,3929.66016237165
Q2-012,B,U06,B-B04,S003-WAT-01;S003-FOD-01;S003-MED-01,S003,25,0.067,2.77983477639618,1450.52330354355,1690.52330354355,2640.72744160904,4331.25074515259
Q2-013,B,U06,B-B02,S012-WAT-01;S012-MED-01;S012-FOD-01,S012,25,0.067,2.75236124069306,1292.74035074404,1532.74035074404,843.554941922245,2376.29529266628
Q2-014,B,U06,B-B03,S008-HYG-01;S008-WAT-01,S008,20,0.062,2.76339885804312,1331.83143566032,1541.83143566032,4391.25074515259,5933.08218081291
Q2-015,C,U07,C-B03,S001-HYG-02;S001-FOD-01;S002-WAT-02;S002-WAT-01;S002-WAT-04;S002-FOD-01;S002-HYG-01;S002-MED-01,S001→S002,73,0.219,6.25066569554872,1312.44259195839,1960.44259195839,1554.16907732905,3514.61166928744
Q2-016,C,U08,C-B02,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-03;S006-WAT-02,S006,59,0.156,2.59793490935578,685.553867961642,1081.55386796164,300,1381.55386796164
Q2-017,C,U07,C-B01,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01;S007-HYG-01;S007-FOD-01,S007→S003,70,0.207,6.25040310692154,1571.5924183923,2183.5924183923,3724.61166928744,5908.20408767974
Q2-018,A,U04,A-B04,S013-WAT-01;S014-FOD-01,S013→S014,22,0.055,2.8169549522988,1625.27938036281,1985.27938036281,300.000001000016,2285.27938136283
Q2-019,A,U02,A-B05,S013-FOD-01;S013-MED-01;S009-MED-01,S013→S009,14,0.052,2.6711974700446,1407.68783411092,1797.68783411092,1310.89950207717,3108.58733618809
Q2-020,A,U02,A-B04,S009-FOD-01;S009-WAT-01,S009,22,0.055,2.331286075951,1118.6132318313,1328.6132318313,4604.4689489816,5933.0821808129
Q2-021,C,U08,C-B04,S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S005-MED-01,S005→S004,62,0.168,6.38730956233081,1525.74063369961,2137.74063369961,1591.55386796164,3729.29450166125
Q2-022,A,U04,A-B01,S011-WAT-01;S011-MED-01,S011,17,0.039,1.15198598927393,652.022946657694,862.022946657694,5071.05923415521,5933.0821808129
Q2-023,B,U05,B-B01,S015-MED-01;S015-WAT-01;S015-FOD-01,S015,25,0.067,2.30738138387581,1198.27663742698,1438.27663742698,2695.78401825254,4134.06065567951
