K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
2,1,1,2698.34363810088,2826.43469645049,G01,,G01,20.2529737910729
2,1,1,2826.43469645049,3108.86527227216,G01,,G01,0.574472625218277
2,1,1,3108.86527227216,3161.50263026138,R02,Q3-R02,K2-G1-R02,0.420362094099602
2,1,1,3161.50263026138,3204.30641035175,R01,Q3-R03,K2-G1-R01,4.02524455796281
2,1,1,3204.30641035175,3269.69568037128,R01,Q3-R03,K2-G1-R01,3.61938804937449
2,1,1,3269.69568037128,3479.69568037128,R01,Q3-R03,K2-G1-R01,4.1760073314011
2,1,1,3479.69568037128,3534.18673872089,R01,Q3-R03,K2-G1-R01,3.61938804937449
2,1,1,3534.18673872089,3912.05845262213,R01,Q3-R03,K2-G1-R01,2.49346836753311
2,1,1,3912.05845262213,4065.76772264166,G01,,G01,20.2529737910729
2,1,2,300,358.142644042969,G01,,G01,28.6970794428954
2,1,2,358.142644042969,561.741233610815,G01,,G01,1.95921317757148
2,1,2,561.741233610815,606.269538664526,G01,,G01,2.11881910856134
2,1,2,606.269538664526,718.826061535051,G01,,G01,2.247841154143
2,1,2,718.826061535051,1002.26953866453,G01,,G01,2.247841154143
2,1,2,1002.26953866453,1037.89218270749,G01,,G01,2.11881910856134
2,1,2,1037.89218270749,1241.49077227534,G01,,G01,1.95921317757148
2,1,2,1241.49077227534,1314.16907732905,G01,,G01,28.6970794428954
2,1,3,376.761406709938,531.510535941709,G01,,G01,18.6107857926076
2,1,3,531.510535941709,718.826061535051,G01,,G01,3.66235714345244
2,1,3,718.826061535051,983.144024126076,R01,Q3-R01,K2-G1-R01,4.97184543021159
2,1,3,983.144024126076,1079.5229792042,R01,Q3-R01,K2-G1-R01,9.16086784080879
2,1,3,1079.5229792042,1289.5229792042,R01,Q3-R01,K2-G1-R01,10.4128605785245
2,1,3,1289.5229792042,1351.71083524261,R01,Q3-R01,K2-G1-R01,9.48486424029969
2,1,3,1351.71083524261,1497.81010218174,R01,Q3-R01,K2-G1-R01,0.876612483215325
2,1,3,1497.81010218174,1572.19552942783,R01,Q3-R01,K2-G1-R01,3.39306804205241
2,1,3,1572.19552942783,1675.54702248065,R01,Q3-R01,K2-G1-R01,3.93530081681283
2,1,3,1675.54702248065,1752.19552942783,R01,Q3-R01,K2-G1-R01,3.93530081681283
2,1,3,1752.19552942783,1773.20666333897,R01,Q3-R01,K2-G1-R01,3.75797242098834
2,1,3,1773.20666333897,1780.20770797601,R02,Q3-R02,K2-G1-R02,0.0916164832338779
2,1,3,1780.20770797601,1792.6673299855,R02,Q3-R02,K2-G1-R02,0.0357860314744443
2,1,3,1792.6673299855,1805.12695199499,R02,Q3-R02,K2-G1-R02,0.119819475924274
2,1,3,1805.12695199499,1830.04619601397,R02,Q3-R02,K2-G1-R02,0.122391227202783
2,1,3,1830.04619601397,1879.88468405193,R02,Q3-R02,K2-G1-R02,0.0924984273137426
2,1,3,1879.88468405193,1979.56166012785,G01,,G01,0.687588329273126
2,1,3,1979.56166012785,2178.91561227968,G01,,G01,3.48210182388043
2,1,3,2178.91561227968,2302.0902265375,G01,,G01,22.1765507746816
2,1,5,300,348.452203369141,G01,,G01,28.6970794428954
2,1,5,348.452203369141,552.050792936987,G01,,G01,1.95921317757148
2,1,5,552.050792936987,587.673436979956,G01,,G01,2.11881910856134
2,1,5,587.673436979956,718.826061535051,G01,,G01,2.247841154143
2,1,5,718.826061535051,797.673436979956,G01,,G01,2.247841154143
2,1,5,797.673436979956,827.35897368243,G01,,G01,2.11881910856134
2,1,5,827.35897368243,1030.95756325027,G01,,G01,1.95921317757148
2,1,5,1030.95756325027,1089.10020729324,G01,,G01,28.6970794428954
2,1,6,300,348.452203369141,G01,,G01,28.6970794428954
2,1,6,348.452203369141,602.950440328949,G01,,G01,1.95921317757148
2,1,6,602.950440328949,638.573084371917,G01,,G01,2.11881910856134
2,1,6,638.573084371917,718.826061535051,G01,,G01,2.247841154143
2,1,6,718.826061535051,878.573084371917,G01,,G01,2.247841154143
2,1,6,878.573084371917,908.258621074391,G01,,G01,2.11881910856134
