gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
3,32,0.7016930467514686,6,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014 | S015,4,3,2,6,4,4,4,5
4,33,0.734672722702634,6,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S012,4,3,2,6,5,4,4,5
4,34,0.5688146932828076,7,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014 | S012;S015,4,3,2,6,5,4,4,6
6,36,0.3620637381464702,7,S001;S002;S003;S004;S005;S006;S007;S008;S011;S012;S015 | S009;S010;S013;S014,7,2,2,7,4,4,4,6
7,37,0.3065929941500689,7,S001;S002;S003;S004;S005;S006;S007;S008;S011;S012 | S009;S010;S013;S014;S015,7,3,2,7,4,4,4,6
8,38,0.3029497642442183,7,S001;S002;S003;S004;S005;S006;S007;S008;S011;S015 | S009;S010;S012;S013;S014,7,3,2,7,5,4,4,6
8,38,0.24747902024781698,7,S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S012;S013;S014;S015,7,3,2,7,5,4,4,6
6,35,0.6647582001201198,6,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S008,4,4,2,6,6,4,4,5
6,36,0.5224886807388758,7,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014 | S008;S015,4,4,2,6,6,4,4,6
5,35,0.455121305504332,8,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014;S015 | S008;S012,4,4,2,6,5,4,4,6
5,35,0.40146042058270814,8,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S012;S015,4,4,2,6,5,4,4,6
10,40,0.2014551851792206,8,S001;S002;S003;S004;S005;S006;S007;S011;S012;S015 | S008;S009;S010;S013;S014,7,4,2,7,6,4,4,6
10,40,0.14779430025759666,8,S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008;S009;S010;S013;S014;S015,7,4,2,7,6,4,4,6
9,39,0.14426993900631185,8,S001;S002;S003;S004;S005;S006;S007;S011;S015 | S008;S009;S010;S012;S013;S014,7,4,2,7,5,4,4,6
9,39,0.0906090540846879,8,S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S012;S013;S014;S015,7,4,2,7,5,4,4,6
2,29,0.9504421400153372,4,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S006,4,2,3,6,4,5,2,3
5,34,0.6580901268677316,6,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S012;S013;S014 | S006;S015,4,3,3,6,4,5,4,5
6,35,0.6901250604441859,6,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014;S015 | S006;S012,4,3,3,6,5,5,4,5
6,36,0.5271018571240103,7,S001;S002;S003;S004;S005;S007;S008;S009;S010;S011;S013;S014 | S006;S012;S015,4,3,3,6,5,5,4,6
8,38,0.3203509019876728,7,S001;S002;S003;S004;S005;S007;S008;S011;S012;S015 | S006;S009;S010;S013;S014,7,2,3,7,4,5,4,6
9,39,0.2648801579912714,7,S001;S002;S003;S004;S005;S007;S008;S011;S012 | S006;S009;S010;S013;S014;S015,7,3,3,7,4,5,4,6
10,40,0.261236928085421,7,S001;S002;S003;S004;S005;S007;S008;S011;S015 | S006;S009;S010;S012;S013;S014,7,3,3,7,5,5,4,6
10,40,0.2057661840890196,7,S001;S002;S003;S004;S005;S007;S008;S011 | S006;S009;S010;S012;S013;S014;S015,7,3,3,7,5,5,4,6
8,37,0.6203385750767388,6,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015 | S006;S008,4,4,3,6,6,5,4,5
8,38,0.48037067248293636,7,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006;S008;S015,4,4,3,6,6,5,4,6
7,37,0.41476944541359656,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006;S008;S012,4,4,3,6,5,5,4,6
7,37,0.36110856049197265,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S008;S012;S015,4,4,3,6,5,5,4,6
12,42,0.16110332508848532,8,S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006;S008;S009;S010;S013;S014,7,4,3,7,6,5,4,6
12,42,0.10744244016686143,8,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S008;S009;S010;S013;S014;S015,7,4,3,7,6,5,4,6
11,41,0.10391807891557645,8,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S008;S009;S010;S012;S013;S014,7,4,3,7,5,5,4,6
11,41,0.05025719399395255,8,S001;S002;S003;S004;S005;S007;S011 | S006;S008;S009;S010;S012;S013;S014;S015,7,4,3,7,5,5,4,6
4,34,0.5634950658248592,7,S001;S002;S003;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015 | S004;S005,4,2,3,6,4,5,4,6
5,35,0.5074855141197352,7,S001;S002;S003;S006;S007;S008;S009;S010;S011;S012;S013;S014 | S004;S005;S015,4,3,3,6,4,5,4,6
6,36,0.440747271560118,8,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S004;S005;S012,4,3,3,6,5,5,4,6
6,36,0.38708638663849415,8,S001;S002;S003;S006;S007;S008;S009;S010;S011;S013;S014 | S004;S005;S012;S015,4,3,3,6,5,5,4,6
