gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
8,38,0.8759145858189464,8,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014 | S012 | S015,4,4,2,6,5,4,6,7
11,41,0.569775311701001,9,S001;S002;S003;S004;S005;S006;S007;S008;S011;S012 | S009;S010;S013;S014 | S015,7,3,2,7,4,4,6,8
13,43,0.530250494855671,9,S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S012;S013;S014 | S015,7,4,2,7,5,4,6,8
12,42,0.5965816677202609,9,S001;S002;S003;S004;S005;S006;S007;S008;S011;S015 | S009;S010;S013;S014 | S012,7,3,2,7,5,4,6,8
13,43,0.5599862924892858,9,S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S013;S014;S015 | S012,7,4,2,7,5,4,6,8
13,43,0.44873102087284467,10,S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S013;S014 | S012;S015,7,3,2,7,5,4,6,9
10,40,0.8104212819730965,8,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014 | S008 | S015,4,5,2,6,6,4,6,7
10,40,0.6477763105102047,10,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S012 | S015,4,5,2,6,5,4,6,8
10,40,0.8372061593678356,8,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014;S015 | S008 | S012,4,5,2,6,6,4,6,7
11,41,0.7202928890927776,9,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S015 | S012,4,5,2,6,6,4,6,8
11,41,0.6962016679494382,9,S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008 | S012;S015,4,5,2,6,6,4,6,8
15,45,0.4835528530142179,10,S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008;S009;S010;S013;S014 | S015,7,5,2,7,6,4,6,8
14,44,0.4620974338763873,10,S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S012;S013;S014 | S015,7,5,2,7,5,4,6,8
15,45,0.511753811732133,10,S001;S002;S003;S004;S005;S006;S007;S011;S015 | S008;S009;S010;S013;S014 | S012,7,5,2,7,6,4,6,8
15,45,0.4920998905144667,10,S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S013;S014;S015 | S012,7,5,2,7,6,4,6,8
16,46,0.35870588298147205,11,S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S013;S014 | S012;S015,7,5,2,7,6,4,6,9
14,44,0.5252510563435008,9,S001;S002;S003;S004;S005;S006;S007;S011;S012;S015 | S008 | S009;S010;S013;S014,7,4,2,7,6,4,6,8
15,45,0.3983176359318397,10,S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008;S015 | S009;S010;S013;S014,7,4,2,7,6,4,6,9
15,45,0.48783658057548124,9,S001;S002;S003;S004;S005;S006;S007;S011;S012 | S008 | S009;S010;S013;S014;S015,7,5,2,7,6,4,6,8
