K,任务组,box_id,area,sortie_id
2,G1,S007-WAT-01,S007,Q2-001
2,G1,S007-MED-01,S007,Q2-001
2,G1,S001-WAT-02,S001,Q2-002
2,G1,S001-FOD-02,S001,Q2-002
2,G1,S001-WAT-07,S001,Q2-002
2,G1,S001-WAT-04,S001,Q2-002
2,G1,S001-WAT-08,S001,Q2-002
2,G1,S001-HYG-01,S001,Q2-002
2,G1,S010-MED-01,S010,Q2-003
2,G1,S014-MED-01,S014,Q2-003
2,G1,S014-WAT-01,S014,Q2-003
2,G1,S005-WAT-02,S005,Q2-004
2,G1,S005-WAT-03,S005,Q2-004
2,G1,S005-FOD-01,S005,Q2-004
2,G1,S005-HYG-01,S005,Q2-004
2,G1,S005-WAT-01,S005,Q2-004
2,G1,S001-WAT-01,S001,Q2-005
2,G1,S001-WAT-05,S001,Q2-005
2,G1,S001-MED-01,S001,Q2-006
2,G1,S001-WAT-03,S001,Q2-006
2,G1,S001-MED-02,S001,Q2-006
2,G1,S010-FOD-01,S010,Q2-007
2,G1,S010-WAT-01,S010,Q2-007
2,G1,S008-WAT-02,S008,Q2-008
2,G1,S008-FOD-01,S008,Q2-008
2,G1,S008-MED-01,S008,Q2-008
2,G1,S001-FOD-03,S001,Q2-009
2,G1,S001-WAT-06,S001,Q2-009
2,G1,S002-FOD-02,S002,Q2-010
2,G1,S002-WAT-03,S002,Q2-010
2,G1,S007-WAT-02,S007,Q2-011
2,G1,S011-FOD-01,S011,Q2-011
2,G1,S003-WAT-01,S003,Q2-012
2,G1,S003-FOD-01,S003,Q2-012
2,G1,S003-MED-01,S003,Q2-012
2,G1,S012-WAT-01,S012,Q2-013
2,G1,S012-MED-01,S012,Q2-013
2,G1,S012-FOD-01,S012,Q2-013
2,G1,S008-HYG-01,S008,Q2-014
2,G1,S008-WAT-01,S008,Q2-014
2,G1,S001-HYG-02,S001,Q2-015
2,G1,S001-FOD-01,S001,Q2-015
2,G1,S002-WAT-02,S002,Q2-015
