groups,transport,battery,relay,component,gap,units,cv,A_uav,B_uav,C_uav,A_battery,B_battery,C_battery,R_uav,R_component
S001;S002 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014 | S015,12,18,6,8,14,44,0.6084962359486406,5,4,3,7,6,5,6,8
S001;S002 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014 | S012;S015,12,19,6,9,16,46,0.4900682868850143,5,4,3,7,7,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014;S015 | S012,12,19,6,8,15,45,0.6348237088499185,5,4,3,7,7,5,6,8
S001;S002 | S003;S004;S005;S006;S007;S008;S011 | S009;S010;S012;S013;S014;S015,14,19,6,9,18,48,0.16850450242721043,7,4,3,7,7,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S008;S011;S012 | S009;S010;S013;S014;S015,14,18,6,9,17,47,0.24971592400341824,7,4,3,7,6,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S008;S011;S012;S015 | S009;S010;S013;S014,13,18,6,9,16,46,0.29521152420039415,7,3,3,7,6,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S008;S011;S015 | S009;S010;S012;S013;S014,14,19,6,9,18,48,0.20355486543938675,7,4,3,7,7,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014 | S008;S015,12,19,6,9,16,46,0.44100174889401583,5,4,3,7,7,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014;S015 | S008,13,19,6,8,16,46,0.5645939851625555,5,5,3,7,7,5,6,8
S001;S002 | S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S012;S015,12,18,6,9,15,45,0.343122619014381,5,4,3,7,6,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S009;S010;S011;S013;S014;S015 | S008;S012,13,18,6,9,16,46,0.39222189197029017,5,5,3,7,6,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S011 | S008;S009;S010;S012;S013;S014;S015,14,18,6,9,17,47,0.18910153885334333,7,4,3,7,6,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S011;S012 | S008;S009;S010;S013;S014;S015,14,19,6,9,18,48,0.18708120115336133,7,4,3,7,7,5,6,9
S001;S002 | S003;S004;S005;S006;S007;S011;S012;S015 | S008;S009;S010;S013;S014,15,19,6,9,19,49,0.2009830251824241,7,5,3,7,7,5,6,9
