service_area,sortie_id,uav_type,box_ids,total_mass_kg,total_volume_m3,payload_utilization,volume_utilization,energy_kWh,operation_time_s,flight_time_s,remaining_energy_kWh,return_SOC,number_of_boxes,horizontal_energy_kWh,climb_energy_kWh,area_index,type_index,max_safe_payload_kg,safe_payload_utilization
S001,Q1-001,C,S001-MED-01;S001-MED-02;S001-HYG-01;S001-HYG-02;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-01;S001-WAT-02,70,0.232,0.875,0.928,2.72039250274634,1692.16907732905,618.169077329052,5.27960749725366,0.659950937156707,9,2.6198685895082,0.100523913238144,1,3,80,0.875
S001,Q1-002,C,S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07,70,0.135,0.875,0.54,2.72039250274634,1428.16907732905,618.169077329052,5.27960749725366,0.659950937156707,5,2.6198685895082,0.100523913238144,1,3,80,0.875
S001,Q1-003,B,S001-WAT-08,14,0.027,0.466666666666667,0.36986301369863,1.00697480399855,1089.10020729324,579.100207293245,2.99302519600145,0.748256299000363,1,0.941605642462224,0.0653691615363227,1,2,30,0.466666666666667
S002,Q1-004,C,S002-MED-01;S002-HYG-01;S002-FOD-01;S002-FOD-02;S002-WAT-01;S002-WAT-02;S002-WAT-03,67,0.184,0.8375,0.736,6.28082466260461,2173.81238481521,1231.81238481521,1.71917533739539,0.214896917174423,7,6.16324636351938,0.117578299085236,2,3,68.860342717453,0.972983830111239
S002,Q1-005,B,S002-WAT-04,14,0.027,0.466666666666667,0.36986301369863,2.36126237280143,1696.69430009841,1186.69430009841,1.63873762719857,0.409684406799642,1,2.28506224178947,0.0762001310119629,2,2,30,0.466666666666667
S003,Q1-006,C,S003-MED-01;S003-HYG-01;S003-FOD-01;S003-FOD-02;S003-WAT-01;S003-WAT-02;S003-WAT-03,67,0.184,0.8375,0.736,6.32405773592721,2502.09134960486,1560.09134960486,1.67594226407279,0.209492783009098,7,6.04006044705138,0.283997288875834,3,3,68.206490555167,0.982311206083956
S003,Q1-007,B,S003-WAT-04,14,0.027,0.466666666666667,0.36986301369863,2.42411878212535,1960.52330354366,1450.52330354366,1.57588121787465,0.393970304468663,1,2.23939029070418,0.18472849142117,3,2,30,0.466666666666667
S004,Q1-008,C,S004-MED-01;S004-HYG-01;S004-FOD-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59,0.156,0.7375,0.624,6.15293201890698,2301.05669248316,1425.05669248316,1.84706798109302,0.230883497636628,6,5.97599153829878,0.176940480608198,4,3,63.696955451087,0.926260911250401
S005,Q1-009,C,S005-MED-01;S005-HYG-01;S005-FOD-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59,0.156,0.7375,0.624,4.22219285950684,1877.19052452575,1001.19052452575,3.77780714049316,0.472225892561645,6,4.09048659010377,0.131706269403076,5,3,80,0.7375
S006,Q1-010,C,S006-MED-01;S006-HYG-01;S006-FOD-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59,0.156,0.7375,0.624,2.59798786491205,1561.55386796164,685.553867961642,5.40201213508795,0.675251516885993,6,2.46811436315644,0.129873501755608,6,3,80,0.7375
S007,Q1-011,C,S007-MED-01;S007-HYG-01;S007-FOD-01;S007-WAT-01;S007-WAT-02,45,0.129,0.5625,0.516,3.41089438000337,1907.56645732991,1097.56645732991,4.58910561999663,0.573638202499579,5,3.2005404168213,0.210353963182068,7,3,80,0.5625
S008,Q1-012,C,S008-MED-01;S008-HYG-01;S008-FOD-01;S008-WAT-01;S008-WAT-02,45,0.129,0.5625,0.516,5.83601171148388,2199.70121308547,1389.70121308547,2.16398828851612,0.270498536064515,5,5.7023920760016,0.133619635482279,8,3,58.9043609630608,0.763950228205001
S009,Q1-013,B,S009-MED-01;S009-FOD-01;S009-WAT-01,25,0.067,0.833333333333333,0.917808219178082,2.09623373442616,1558.44173308876,928.441733088758,1.90376626557384,0.47594156639346,3,2.02429569712711,0.0719380372990502,9,2,30,0.833333333333333
S010,Q1-014,B,S010-MED-01;S010-FOD-01;S010-WAT-01,25,0.067,0.833333333333333,0.917808219178082,1.82319569808993,1555.37956583122,925.379565831219,2.17680430191007,0.544201075477518,3,1.6976312442804,0.125564453809526,10,2,30,0.833333333333333
S011,Q1-015,B,S011-MED-01;S011-FOD-01;S011-WAT-01,25,0.067,0.833333333333333,0.917808219178082,1.07395176543507,1188.42047223501,558.42047223501,2.92604823456493,0.731512058641234,3,0.996359009983863,0.0775927554512024,11,2,30,0.833333333333333
S012,Q1-016,B,S012-MED-01;S012-FOD-01;S012-WAT-01,25,0.067,0.833333333333333,0.917808219178082,2.75241429880165,1922.74035074415,1292.74035074415,1.24758570119835,0.311896425299589,3,2.622289288094,0.130125010707643,12,2,30,0.833333333333333
S013,Q1-017,B,S013-MED-01;S013-FOD-01;S013-WAT-01,25,0.067,0.833333333333333,0.917808219178082,1.82475927232742,1510.4723251019,880.472325101902,2.17524072767258,0.543810181918145,3,1.72060491774665,0.104154354580773,13,2,30,0.833333333333333
S014,Q1-018,B,S014-MED-01;S014-FOD-01;S014-WAT-01,25,0.067,0.833333333333333,0.917808219178082,2.14038848210714,1869.75641638145,1239.75641638145,1.85961151789286,0.464902879473214,3,1.92297948505463,0.217408997052511,14,2,30,0.833333333333333
S015,Q1-019,B,S015-MED-01;S015-FOD-01;S015-WAT-01,25,0.067,0.833333333333333,0.917808219178082,2.30745282428421,1828.27663742702,1198.27663742702,1.69254717571579,0.423136793928948,3,2.13224522291287,0.175207601371341,15,2,30,0.833333333333333
