service_area,uav_type,distance_m,terrain_max_m,cruise_altitude_m,outbound_climb_m,return_climb_m,rated_payload_kg,energy_limited_payload_kg,max_safe_payload_kg,round_trip_energy_kWh,round_trip_flight_time_s,reserve_fraction,energy_binding,reachable
S001,A,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,25,NaN,25,1.31271801609626,680.899502077168,0.2,0,1
S001,B,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,30,NaN,30,1.27394871462557,579.100207293245,0.2,0,1
S001,C,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,80,NaN,80,3.08169695084626,618.169077329052,0.2,0,1
S002,A,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,25,NaN,25,3.09044961489555,1433.73798193454,0.2,0,1
S002,B,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,30,NaN,30,2.99876233328033,1186.69430009841,0.2,0,1
S002,C,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,80,68.860342717453,68.860342717453,6.39999999999657,1231.81238481521,0.2,1,1
S003,A,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,25,NaN,25,3.15682922825428,1692.62927876225,0.2,0,1
S003,B,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,30,NaN,30,3.06440775946845,1450.52330354366,0.2,0,1
S003,C,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,80,68.206490555167,68.206490555167,6.39999999999986,1560.09134960486,0.2,1,1
S004,A,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,25,NaN,25,3.26674612110003,1608.80018536713,0.2,0,1
S004,B,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,30,NaN,30,3.16985180152306,1351.64363706324,0.2,0,1
S004,C,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,80,63.696955451087,63.696955451087,6.39999999999774,1425.05669248316,0.2,1,1
S005,A,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,25,NaN,25,2.24490679321,1122.19045953088,0.2,0,1
S005,B,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,30,NaN,30,2.17829836899498,946.17022830179,0.2,0,1
S005,C,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,80,NaN,80,5.29270640424658,1001.19052452575,0.2,0,1
S006,A,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,25,NaN,25,1.38972028936885,743.478194123602,0.2,0,1
S006,B,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,30,NaN,30,1.35005987826817,637.271254843152,0.2,0,1
S006,C,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,80,NaN,80,3.25333169617585,685.553867961642,0.2,0,1
S007,A,4534.46056681513,461.973175048828,511.973175048828,384.273175048828,163.473175048828,25,NaN,25,2.01793045502031,1157.4240845408,0.2,0,1
S007,B,4534.46056681513,461.973175048828,511.973175048828,384.273175048828,163.473175048828,30,NaN,30,1.95977564534583,1006.2753989803,0.2,0,1
S007,C,4534.46056681513,461.973175048828,511.973175048828,384.273175048828,163.473175048828,80,NaN,80,4.67944916321066,1097.56645732991,0.2,0,1
S008,A,8079.03311242328,322.909332275391,372.909332275391,245.209332275391,102.009332275391,25,NaN,25,3.3871984744541,1601.13253940779,0.2,0,1
S008,B,8079.03311242328,322.909332275391,372.909332275391,245.209332275391,102.009332275391,30,28.8012336232168,28.8012336232168,3.19999999999644,1331.83143566034,0.2,1,1
S008,C,8079.03311242328,322.909332275391,372.909332275391,245.209332275391,102.009332275391,80,58.9043609630608,58.9043609630608,6.39999999999672,1389.70121308547,0.2,1,1
S009,A,5705.14496227701,243.228912353516,293.228912353516,165.528912353516,63.2289123535156,25,NaN,25,2.38685067113462,1118.61323183132,0.2,0,1
S009,B,5705.14496227701,243.228912353516,293.228912353516,165.528912353516,63.2289123535156,30,NaN,30,2.31637739153004,928.441733088758,0.2,0,1
S009,C,5705.14496227701,243.228912353516,293.228912353516,165.528912353516,63.2289123535156,80,NaN,80,5.66949602935891,966.568037206596,0.2,0,1
S010,A,4784.4948516443,385.636535644531,435.636535644531,307.936535644531,84.0365356445312,25,NaN,25,2.07070241469257,1084.8627275527,0.2,0,1
S010,B,4784.4948516443,385.636535644531,435.636535644531,307.936535644531,84.0365356445312,30,NaN,30,2.01101470248866,925.379565831219,0.2,0,1
S010,C,4784.4948516443,385.636535644531,435.636535644531,307.936535644531,84.0365356445312,80,NaN,80,4.85874912905306,990.708411046063,0.2,0,1
S011,A,2808.07423268055,245.361755371094,295.361755371094,167.661755371094,83.2617553710938,25,NaN,25,1.21961119862274,652.022946657695,0.2,0,1
S011,B,2808.07423268055,245.361755371094,295.361755371094,167.661755371094,83.2617553710938,30,NaN,30,1.18393754128969,558.42047223501,0.2,0,1
S011,C,2808.07423268055,245.361755371094,295.361755371094,167.661755371094,83.2617553710938,80,NaN,80,2.85321892051222,600.241057358708,0.2,0,1
S012,A,7390.49168697761,363.300994873047,413.300994873047,285.600994873047,133.500994873047,25,NaN,25,3.13120506700342,1539.0900736434,0.2,0,1
S012,B,7390.49168697761,363.300994873047,413.300994873047,285.600994873047,133.500994873047,30,NaN,30,3.03893706132306,1292.74035074415,0.2,0,1
S012,C,7390.49168697761,363.300994873047,413.300994873047,285.600994873047,133.500994873047,80,68.1171934024314,68.1171934024314,6.39999999999884,1362.5906823685,0.2,1,1
S013,A,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,25,NaN,25,2.0741334613817,1042.11373767621,0.2,0,1
S013,B,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,30,NaN,30,2.01435127637679,880.472325101902,0.2,0,1
S013,C,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,80,NaN,80,4.89148398983459,933.632933012059,0.2,0,1
S014,A,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,25,NaN,25,2.42569258131561,1420.40981165519,0.2,0,1
S014,B,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,30,NaN,30,2.35532353551719,1239.75641638145,0.2,0,1
S014,C,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,80,NaN,80,5.60776224737273,1357.28887894655,0.2,0,1
S015,A,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,25,NaN,25,2.61925291975111,1398.58940314771,0.2,0,1
S015,B,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,30,NaN,30,2.54444058753996,1198.27663742702,0.2,0,1
