objective,method,sortie_weight,energy_weight,time_weight,scale_sorties,scale_energy_kWh,scale_time_h,total_sorties,total_energy_kWh,total_operation_time_h,normalized_objective,note
N-E-T,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,18,59.1312960220528,9.10444881914324,NaN,single-objective priority order
N-T-E,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,18,59.1312960220528,9.10444881914324,NaN,single-objective priority order
E-N-T,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,19,59.0339420922023,9.56666039087525,NaN,single-objective priority order
E-T-N,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,19,59.0339420922023,9.56666039087525,NaN,single-objective priority order
T-N-E,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,18,59.1312960220528,9.10444881914324,NaN,single-objective priority order
T-E-N,lexicographic,NaN,NaN,NaN,NaN,NaN,NaN,18,59.1312960220528,9.10444881914324,NaN,single-objective priority order
weighted_joint_N60_E25_T15,joint_weighted,0.6,0.25,0.15,18,59.0339420922023,9.10444881914324,18,59.1312960220528,9.10444881914324,1.00041227947178,all three criteria included
weighted_joint_balanced,joint_weighted,0.333333333333333,0.333333333333333,0.333333333333333,18,59.0339420922023,9.10444881914324,18,59.1312960220528,9.10444881914324,1.00054970596237,all three criteria included
weighted_joint_N15_E60_T25,joint_weighted,0.15,0.6,0.25,18,59.0339420922023,9.10444881914324,18,59.1312960220528,9.10444881914324,1.00098947073226,all three criteria included
weighted_joint_N15_E25_T60,joint_weighted,0.15,0.25,0.6,18,59.0339420922023,9.10444881914324,18,59.1312960220528,9.10444881914324,1.00041227947178,all three criteria included
weighted_joint_N45_E30_T25,joint_weighted,0.45,0.3,0.25,18,59.0339420922023,9.10444881914324,18,59.1312960220528,9.10444881914324,1.00049473536613,all three criteria included
weighted_joint_energy_dominant_N01_E98_T01,joint_weighted,0.01,0.98,0.01,18,59.0339420922023,9.10444881914324,19,59.0339420922023,9.56666039087525,1.00106323216609,all three criteria included
greedy_baseline,greedy,NaN,NaN,NaN,NaN,NaN,NaN,19,60.0764382732345,9.39530998783581,NaN,baseline only
