service_area,patterns,states,N_DP,N_MILP,energy_DP_kWh,energy_MILP_kWh,time_DP_s,time_MILP_s,N_gap,E_gap,T_gap_h,E_lower_bound,E_upper_bound,exit_N,exit_E,exit_T
S001,201,324,2,2,5.91335157030303,5.91335157030303,3186.3381546581,3186.33815095627,0,0,0,5.91335157030303,5.91335157030303,1,1,1
S002,76,60,2,2,8.43464695829517,8.43464695829517,3858.50668491362,3858.50668491362,0,0,0,8.43464695829517,8.43464695829517,1,1,1
S003,76,60,2,2,8.54488258316997,8.54488258316996,4450.61465314851,4450.61465314851,0,0,0,8.54488258316996,8.54488258316996,1,1,1
S004,51,32,1,1,6.15293201890698,6.15293201890698,2301.05669248316,2301.05669248316,0,0,0,6.15293201890698,6.15293201890698,1,1,1
S005,51,32,1,1,4.22219285950684,4.22219285950684,1877.19052452575,1877.19052452575,0,0,0,4.22219285950684,4.22219285950684,1,1,1
S006,51,32,1,1,2.59798786491205,2.59798786491205,1561.55386796164,1561.55386796164,0,0,0,2.59798786491205,2.59798786491205,1,1,1
S007,43,24,1,1,3.41089438000337,3.41089438000337,1907.56645732991,1907.56645732991,0,0,0,3.41089438000337,3.41089438000337,1,1,1
S008,43,24,1,1,5.83601171148388,5.83601171148388,2199.70121308547,2199.70121308547,0,0,0,5.83601171148388,5.83601171148388,1,1,1
S009,20,8,1,1,2.09623373442616,2.09623373442616,1558.44173308876,1558.44173308876,0,0,0,2.09623373442616,2.09623373442616,1,1,1
S010,20,8,1,1,1.82319569808993,1.82319569808993,1555.37956583122,1555.37956583122,0,0,0,1.82319569808993,1.82319569808993,1,1,1
S011,20,8,1,1,1.07395176543507,1.07395176543507,1188.42047223501,1188.42047223501,0,0,0,1.07395176543507,1.07395176543507,1,1,1
S012,20,8,1,1,2.75241429880165,2.75241429880165,1922.74035074415,1922.74035074415,0,0,0,2.75241429880165,2.75241429880165,1,1,1
S013,20,8,1,1,1.82475927232742,1.82475927232742,1510.4723251019,1510.4723251019,0,0,0,1.82475927232742,1.82475927232742,1,1,1
S014,20,8,1,1,2.14038848210714,2.14038848210714,1869.75641638145,1869.75641638145,0,0,0,2.14038848210714,2.14038848210714,1,1,1
S015,20,8,1,1,2.30745282428421,2.30745282428421,1828.27663742702,1828.27663742702,0,0,0,2.30745282428421,2.30745282428421,1,1,1
