service_area,uav_type,distance_m,terrain_max_m,cruise_altitude_m,outbound_climb_m,return_climb_m,rated_payload_kg,energy_limited_payload_kg,max_safe_payload_kg,round_trip_energy_kWh,round_trip_flight_time_s,reserve_fraction,energy_binding,reachable,scenario_reserve
S001,A,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,25,NaN,25,1.31271801609626,680.899502077168,0,0,1,0
S001,B,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,30,NaN,30,1.27394871462557,579.100207293245,0,0,1,0
S001,C,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,80,NaN,80,3.08169695084626,618.169077329052,0,0,1,0
S002,A,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,25,NaN,25,3.09044961489555,1433.73798193454,0,0,1,0
S002,B,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,30,NaN,30,2.99876233328033,1186.69430009841,0,0,1,0
S002,C,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,80,NaN,80,7.34777311380283,1231.81238481521,0,0,1,0
S003,A,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,25,NaN,25,3.15682922825428,1692.62927876225,0,0,1,0
S003,B,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,30,NaN,30,3.06440775946845,1450.52330354366,0,0,1,0
S003,C,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,80,NaN,80,7.38229970640202,1560.09134960486,0,0,1,0
S004,A,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,25,NaN,25,3.26674612110003,1608.80018536713,0,0,1,0
S004,B,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,30,NaN,30,3.16985180152306,1351.64363706324,0,0,1,0
S004,C,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,80,NaN,80,7.71532642774555,1425.05669248316,0,0,1,0
S005,A,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,25,NaN,25,2.24490679321,1122.19045953088,0,0,1,0
S005,B,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,30,NaN,30,2.17829836899498,946.17022830179,0,0,1,0
S005,C,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,80,NaN,80,5.29270640424658,1001.19052452575,0,0,1,0
S006,A,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,25,NaN,25,1.38972028936885,743.478194123602,0,0,1,0
S006,B,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,30,NaN,30,1.35005987826817,637.271254843152,0,0,1,0
S006,C,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,80,NaN,80,3.25333169617585,685.553867961642,0,0,1,0
