service_area,number_of_boxes,number_of_sorties,total_mass_kg,total_energy_kWh,total_operation_time_s,total_flight_time_s
S001,15,2,154,5.91335157030303,3186.3381546581,1236.3381546581
S002,8,2,81,8.43464695829517,3858.50668491362,2418.50668491362
S003,8,2,81,8.54488258316997,4450.61465314851,3010.61465314851
S004,6,1,59,6.15293201890698,2301.05669248316,1425.05669248316
S005,6,1,59,4.22219285950684,1877.19052452575,1001.19052452575
S006,6,1,59,2.59798786491205,1561.55386796164,685.553867961642
S007,5,1,45,3.41089438000337,1907.56645732991,1097.56645732991
S008,5,1,45,5.83601171148388,2199.70121308547,1389.70121308547
S009,3,1,25,2.09623373442616,1558.44173308876,928.441733088758
S010,3,1,25,1.82319569808993,1555.37956583122,925.379565831219
S011,3,1,25,1.07395176543507,1188.42047223501,558.42047223501
S012,3,1,25,2.75241429880165,1922.74035074415,1292.74035074415
S013,3,1,25,1.82475927232742,1510.4723251019,880.472325101902
S014,3,1,25,2.14038848210714,1869.75641638145,1239.75641638145
S015,3,1,25,2.30745282428421,1828.27663742702,1198.27663742702
