area,distance_m,terrain_max_m,cruise_m,outbound_climb_m,return_climb_m,intersected_cells,node_minus_dem_m,local_minus_geodesic_m
S001,3053.9788435177,223.056610107422,273.056610107422,145.356610107422,89.0566101074219,136,0.03863525390625,9.43248937814997
S002,7411.31045508378,258.954254150391,308.954254150391,181.254254150391,89.4542541503906,323,0.705764770507812,23.9681457135075
S003,7263.1792565579,511.804138183594,561.804138183594,434.104138183594,223.304138183594,338,-0.01068115234375,-2.10353539426978
S004,7714.69644911687,348.239166259766,398.239166259766,270.539166259766,169.939166259766,276,3.18424682617189,30.9659992095185
S005,5280.6069368728,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,-4.03955078125,21.4131948484473
S006,3186.20817841349,316.097839355469,366.097839355469,238.397839355469,51.2978393554687,116,9.67277221679689,-5.17486416915699
S007,4534.46056681513,461.973175048828,511.973175048828,384.273175048828,163.473175048828,213,4.2779541015625,-0.632630863416125
S008,8079.03311242328,322.909332275391,372.909332275391,245.209332275391,102.009332275391,321,-7.38918457031249,30.4401145505553
S009,5705.14496227701,243.228912353516,293.228912353516,165.528912353516,63.2289123535156,253,10.5629119873047,17.535474520696
S010,4784.4948516443,385.636535644531,435.636535644531,307.936535644531,84.0365356445312,203,0.0183349609375227,-6.05492195177885
S011,2808.07423268055,245.361755371094,295.361755371094,167.661755371094,83.2617553710938,123,4.05713806152343,9.07749696933206
S012,7390.49168697761,363.300994873047,413.300994873047,285.600994873047,133.500994873047,354,-3.51507873535155,7.95805479747742
S013,4849.24237722911,349.181823730469,399.181823730469,271.481823730469,47.4818237304688,228,-0.00806884765626137,-0.5353306058214
S014,5419.60185821241,541.947387695312,591.947387695312,464.247387695313,240.947387695312,203,0.017486572265625,-8.68473364412239
S015,6009.38297162062,521.799255371094,571.799255371094,444.099255371094,97.2992553710938,286,8.270751953125,9.73106882424054
