机型编号,服务区编号,最大安全载荷_kg,往返能耗_kWh,允许任务能量_kWh,往返距离_m,安全载荷对应航程_m,零载荷是否可行,搜索方法
A,S001,25.0,1.3123337385030867,3.6,6107.957687036999,20000.0,True,endpoint-check
A,S002,25.0,3.090237576393433,3.6,14822.620910168365,20000.0,True,endpoint-check
A,S003,25.0,3.1563842913401423,3.6,14526.358513113,20000.0,True,endpoint-check
A,S004,25.0,3.2671722399236485,3.6,15429.392898234335,20000.0,True,endpoint-check
A,S005,25.0,2.243432065734964,3.6,10561.213873746088,20000.0,True,endpoint-check
A,S006,25.0,1.3918795097336893,3.6,6372.416356827312,20000.0,True,endpoint-check
A,S007,25.0,2.012301109895372,3.6,9068.921133632148,20000.0,True,endpoint-check
A,S008,25.0,3.3848335805057284,3.6,16158.066224846374,20000.0,True,endpoint-check
A,S009,25.0,2.3892535037455502,3.6,11410.289924554074,20000.0,True,endpoint-check
A,S010,25.0,2.070293253107822,3.6,9568.98970328726,20000.0,True,endpoint-check
A,S011,25.0,1.2190324911258998,3.6,5616.148465363292,20000.0,True,endpoint-check
A,S012,25.0,3.1298583831468445,3.6,14780.983373955749,20000.0,True,endpoint-check
A,S013,25.0,2.073725090109647,3.6,9698.484754461022,20000.0,True,endpoint-check
A,S014,25.0,2.42524980711067,3.6,10839.20371642628,20000.0,True,endpoint-check
A,S015,25.0,2.6210114108144276,3.6,12018.76594324058,20000.0,True,endpoint-check
B,S001,30.0,1.2735642816643913,3.2,6107.957687036999,16000.0,True,endpoint-check
B,S002,30.0,2.9985375217914476,3.2,14822.620910168365,16000.0,True,endpoint-check
B,S003,30.0,3.063964467645347,3.2,14526.358513113,16000.0,True,endpoint-check
B,S004,30.0,3.170218781654669,3.2,15429.392898234335,16000.0,True,endpoint-check
B,S005,30.0,2.176900907505949,3.2,10561.213873746088,16000.0,True,endpoint-check
B,S006,30.0,1.3520364488569685,3.2,6372.416356827312,16000.0,True,endpoint-check
B,S007,30.0,1.954258300891054,3.2,9068.921133632148,16000.0,True,endpoint-check
B,S008,28.833379072537902,3.200000001,3.2,16158.066224846374,16693.122773673058,True,bisection-with-endpoint-check
B,S009,30.0,2.3185808125592136,3.2,11410.289924554074,16000.0,True,endpoint-check
B,S010,30.0,2.010605737118904,3.2,9568.98970328726,16000.0,True,endpoint-check
B,S011,30.0,1.1833206973955979,3.2,5616.148465363292,16000.0,True,endpoint-check
B,S012,30.0,3.037657735443352,3.2,14780.983373955749,16000.0,True,endpoint-check
B,S013,30.0,2.01394336458095,3.2,9698.484754461022,16000.0,True,endpoint-check
B,S014,30.0,2.3548819875642755,3.2,10839.20371642628,16000.0,True,endpoint-check
B,S015,30.0,2.546043248323312,3.2,12018.76594324058,16000.0,True,endpoint-check
C,S001,80.0,3.0810893411385503,6.4,6107.957687036999,12000.0,True,endpoint-check
C,S002,68.84904971220195,6.398857667082518,6.4,14822.620910168365,14822.620910167368,True,bisection-with-endpoint-check
C,S003,68.21636824492016,6.400000001,6.4,14526.358513113,14976.336526719657,True,bisection-with-endpoint-check
C,S004,63.692373288543536,6.400000001,6.4,15429.392898234335,16054.555393643843,True,bisection-with-endpoint-check
C,S005,80.0,5.291006107338346,6.4,10561.213873746088,12000.0,True,endpoint-check
C,S006,80.0,3.2552573328101397,6.4,6372.416356827312,12000.0,True,endpoint-check
C,S007,80.0,4.671475033549285,6.4,9068.921133632148,12000.0,True,endpoint-check
C,S008,58.95400663623352,6.400000001,6.4,16158.066224846374,17143.48129561966,True,bisection-with-endpoint-check
C,S009,80.0,5.671670113407694,6.4,11410.289924554074,12000.0,True,endpoint-check
C,S010,80.0,4.8581051065485665,6.4,9568.98970328726,12000.0,True,endpoint-check
C,S011,80.0,2.8519964747457487,6.4,5616.148465363292,12000.0,True,endpoint-check
C,S012,68.14079284511737,6.400000001,6.4,14780.983373955749,14994.65075990703,True,bisection-with-endpoint-check
C,S013,80.0,4.890843349548221,6.4,9698.484754461022,12000.0,True,endpoint-check
C,S014,80.0,5.607073541834782,6.4,10839.20371642628,12000.0,True,endpoint-check
C,S015,79.92849471189514,6.128123385084361,6.4,12018.76594324058,12018.76594323958,True,bisection-with-endpoint-check
