batch_id,area_id,uav_type,box_ids_normalized,box_count,mass_kg,volume_m3,time_s,handling_time_s,work_time_s,energy_kwh,soc_percent,source_mass_kg,source_volume_m3,source_time_s,source_energy_kwh,source_soc_percent,mass_diff_kg,volume_diff_m3,time_diff_s,energy_diff_kwh,soc_diff_percentage_points,safe_payload_kg,mass_slack_kg,volume_slack_m3,round_trip_distance_m,equivalent_range_m,range_slack_m,allowed_energy_kwh,energy_slack_kwh,source_mass_volume_match,constraint_passed,备注
Q1-S001-T01,S001,C,S001-HYG-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,6,76.0,0.17,617.2808629126555,876.0,1493.2808629126555,2.916990969567811,63.537612880402364,76.0,0.17,619.43,2.9263,63.42,0.0,0.0,-2.1491370873444566,-0.00930903043218878,0.11761288040236195,80.0,4.0,0.07999999999999999,6107.957687036999,13036.763521404078,6928.805834367079,6.4,3.4830090304321892,通过,通过,统一模型重算；原表值仅作对照
Q1-S001-T02,S001,C,S001-MED-01;S001-MED-02;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,9,78.0,0.224,617.2808629126555,1074.0,1691.2808629126555,2.995169788861556,62.560377639230545,78.0,0.224,619.43,3.0047,62.44,0.0,0.0,-2.1491370873444566,-0.009530211138444322,0.12037763923054712,80.0,2.0,0.025999999999999995,6107.957687036999,12521.704948325252,6413.747261288253,6.4,3.4048302111384445,通过,通过,统一模型重算；原表值仅作对照
Q1-S002-T01,S002,B,S002-MED-01;S002-FOD-01;S002-WAT-01,3,25.0,0.067,1186.459798145339,630.0,1816.459798145339,2.7132180475444847,32.169548811387884,25.0,0.067,1189.89,2.7219,31.95,0.0,0.0,-3.4302018546611635,-0.008681952455515507,0.2195488113878845,30.0,5.0,0.0059999999999999915,14822.620910168365,18871.29070824723,4048.669798078865,3.2,0.4867819524555155,通过,通过,统一模型重算；原表值仅作对照
Q1-S002-T02,S002,C,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,5,56.0,0.14400000000000002,1231.5245869636983,810.0,2041.5245869636983,5.720885244434728,28.488934444565906,56.0,0.144,1235.01,5.7394,28.26,0.0,2.7755575615628914e-17,-3.4854130363016793,-0.018514755565272267,0.22893444456590473,68.84904971220195,12.849049712201946,0.10599999999999998,14822.620910168365,17800.73173996606,2978.1108297976953,6.4,0.6791147555652728,通过,通过,统一模型重算；原表值仅作对照
Q1-S003-T01,S003,B,S003-MED-01;S003-FOD-01;S003-WAT-01,3,25.0,0.067,1449.7634079135883,630.0,2079.7634079135883,2.779496381709583,30.512590457260423,25.0,0.067,1450.24,2.7792,30.52,0.0,0.0,-0.4765920864117561,0.0002963817095831267,-0.007409542739576835,30.0,5.0,0.0059999999999999915,14526.358513113,18871.29070824723,4344.93219513423,3.2,0.42050361829041716,通过,通过,统一模型重算；原表值仅作对照
Q1-S003-T02,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,5,56.0,0.14400000000000002,1559.15875042254,810.0,2369.15875042254,5.764382980823921,27.945212739700985,56.0,0.144,1559.81,5.7634,27.96,0.0,2.7755575615628914e-17,-0.6512495774600211,0.0009829808239212312,-0.014787260299016225,68.21636824492016,12.216368244920162,0.10599999999999998,14526.358513113,17800.73173996606,3274.3732268530603,6.4,0.6356170191760793,通过,通过,统一模型重算；原表值仅作对照
Q1-S004-T01,S004,C,S004-MED-01;S004-FOD-01;S004-HYG-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,6,59.0,0.156,1426.9995284817355,876.0,2302.9995284817355,6.153213567639964,23.084830404500444,59.0,0.156,1429.18,6.1769,22.79,0.0,0.0,-2.1804715182645396,-0.023686432360035425,0.29483040450044484,63.692373288543536,4.692373288543536,0.094,15429.392898234335,17133.115065734753,1703.7221675004184,6.4,0.24678643236003595,通过,通过,统一模型重算；原表值仅作对照
Q1-S005-T01,S005,C,S005-MED-01;S005-FOD-01;S005-HYG-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,6,59.0,0.156,996.6319426776364,876.0,1872.6319426776363,4.2205794370942655,47.24275703632168,59.0,0.156,1004.04,4.2388,47.02,0.0,0.0,-7.408057322363561,-0.018220562905734816,0.2227570363216742,80.0,21.0,0.094,10561.213873746088,17133.115065734753,6571.901191988665,6.4,2.179420562905735,通过,通过,统一模型重算；原表值仅作对照
Q1-S006-T01,S006,C,S006-MED-01;S006-FOD-01;S006-HYG-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,6,59.0,0.156,693.3363768117622,876.0,1569.3363768117622,2.6000014531936193,67.49998183507977,59.0,0.156,684.86,2.594,67.58,0.0,0.0,8.47637681176218,0.006001453193619444,-0.08001816492023295,80.0,21.0,0.094,6372.416356827312,17133.115065734753,10760.698708907443,6.4,3.799998546806381,通过,通过,统一模型重算；原表值仅作对照
Q1-S007-T01,S007,C,S007-MED-01;S007-FOD-01;S007-HYG-01;S007-WAT-01;S007-WAT-02,5,45.0,0.129,1082.2367695248581,810.0,1892.2367695248581,3.4044165319312363,57.44479335085955,45.0,0.129,1079.22,3.4033,57.46,0.0,0.0,3.0167695248580912,0.0011165319312360644,-0.015206649140452555,80.0,35.0,0.121,9068.921133632148,20093.75,11024.828866367852,6.4,2.995583468068764,通过,通过,统一模型重算；原表值仅作对照
Q1-S008-T01,S008,C,S008-MED-01;S008-FOD-01;S008-HYG-01;S008-WAT-01;S008-WAT-02,5,45.0,0.129,1382.1279608271607,810.0,2192.1279608271607,5.833566106521047,27.080423668486908,45.0,0.129,1393.76,5.8575,26.78,0.0,0.0,-11.632039172839313,-0.023933893478952584,0.30042366848690705,58.95400663623352,13.954006636233522,0.121,16158.066224846374,20093.75,3935.683775153626,6.4,0.566433893478953,通过,通过,统一模型重算；原表值仅作对照
Q1-S009-T01,S009,B,S009-MED-01;S009-FOD-01;S009-WAT-01,3,25.0,0.067,935.4358057612872,630.0,1565.4358057612872,2.098457625430791,47.538559364230224,25.0,0.067,930.78,2.1025,47.44,0.0,0.0,4.6558057612871835,-0.004042374569209084,0.09855936423022627,30.0,5.0,0.0059999999999999915,11410.289924554074,18871.29070824723,7461.000783693156,3.2,1.1015423745692092,通过,通过,统一模型重算；原表值仅作对照
Q1-S010-T01,S010,B,S010-MED-01;S010-FOD-01;S010-WAT-01,3,25.0,0.067,924.6409486843199,630.0,1554.64094868432,1.8228081229609705,54.42979692597574,25.0,0.067,924.57,1.821,54.47,0.0,0.0,0.07094868431988743,0.0018081229609705485,-0.040203074024262264,30.0,5.0,0.0059999999999999915,9568.98970328726,18871.29070824723,9302.30100495997,3.2,1.3771918770390297,通过,通过,统一模型重算；原表值仅作对照
Q1-S011-T01,S011,B,S011-MED-01;S011-FOD-01;S011-WAT-01,3,25.0,0.067,557.6916461446622,630.0,1187.6916461446622,1.073393480333487,73.16516299166283,25.0,0.067,556.68,1.076,73.1,0.0,0.0,1.0116461446622225,-0.002606519666513041,0.0651629916628309,30.0,5.0,0.0059999999999999915,5616.148465363292,18871.29070824723,13255.142242883938,3.2,2.126606519666513,通过,通过,统一模型重算；原表值仅作对照
Q1-S012-T01,S012,B,S012-MED-01;S012-FOD-01;S012-WAT-01,3,25.0,0.067,1289.41056355343,630.0,1919.41056355343,2.7511562188261616,31.22109452934596,25.0,0.067,1293.8,2.7552,31.12,0.0,0.0,-4.389436446570016,-0.004043781173838301,0.10109452934596064,30.0,5.0,0.0059999999999999915,14780.983373955749,18871.29070824723,4090.3073342914813,3.2,0.4488437811738386,通过,通过,统一模型重算；原表值仅作对照
Q1-S013-T01,S013,B,S013-MED-01;S013-FOD-01;S013-WAT-01,3,25.0,0.067,879.7143451623103,630.0,1509.7143451623103,1.824372515194972,54.390687120125705,25.0,0.067,880.4,1.8246,54.39,0.0,0.0,-0.6856548376896399,-0.00022748480502809976,0.0006871201257041548,30.0,5.0,0.0059999999999999915,9698.484754461022,18871.29070824723,9172.805953786208,3.2,1.3756274848050283,通过,通过,统一模型重算；原表值仅作对照
