架次编号,服务区编号,机型编号,货箱编号列表,总质量_kg,总体积_m3,往返时间_s,装卸交接时间_s,作业时间_s,架次能耗_kWh,返航SOC_%
Q1-001,S001,C,S001-MED-01;S001-MED-02;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,76.0,0.231,617.2808629126555,1074.0,1691.2808629126555,2.916990969567811,63.537612880402364
Q1-002,S001,C,S001-WAT-04;S001-WAT-06;S001-FOD-01;S001-WAT-08;S001-WAT-07;S001-WAT-05,78.0,0.163,617.2808629126555,876.0,1493.2808629126555,2.995169788861556,62.560377639230545
Q1-003,S002,C,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01,39.0,0.13,1231.5245869636983,810.0,2041.5245869636983,5.170654466445457,35.366819169431785
Q1-004,S002,C,S002-WAT-04;S002-WAT-03;S002-WAT-02,42.0,0.081,1231.5245869636983,678.0,1909.5245869636983,5.248368372584244,34.39539534269696
Q1-005,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-01;S003-WAT-02,42.0,0.117,1559.15875042254,744.0,2303.15875042254,5.287726627178687,33.903417160266414
Q1-006,S003,C,S003-MED-01;S003-FOD-01;S003-WAT-04;S003-WAT-03,39.0,0.094,1559.15875042254,744.0,2303.15875042254,5.208655196812952,34.8918100398381
Q1-007,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59.0,0.156,1426.9995284817355,876.0,2302.9995284817355,6.153213567639964,23.084830404500444
Q1-008,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59.0,0.156,996.6319426776364,876.0,1872.6319426776363,4.2205794370942655,47.24275703632168
Q1-009,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59.0,0.156,693.3363768117622,876.0,1569.3363768117622,2.6000014531936193,67.49998183507977
Q1-010,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45.0,0.129,1082.2367695248581,810.0,1892.2367695248581,3.4044165319312363,57.44479335085955
Q1-011,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45.0,0.129,1382.1279608271607,810.0,2192.1279608271607,5.833566106521047,27.080423668486908
Q1-012,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,935.4358057612872,630.0,1565.4358057612872,2.098457625430791,47.538559364230224
Q1-013,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,924.6409486843199,630.0,1554.64094868432,1.8228081229609705,54.42979692597574
Q1-014,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,557.6916461446622,630.0,1187.6916461446622,1.073393480333487,73.16516299166283
Q1-015,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,1289.41056355343,630.0,1919.41056355343,2.7511562188261616,31.22109452934596
Q1-016,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,879.7143451623103,630.0,1509.7143451623103,1.824372515194972,54.390687120125705
Q1-017,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,1239.0171770830411,630.0,1869.0171770830411,2.139969334505604,46.5007666373599
Q1-018,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,1203.5897927411038,630.0,1833.5897927411038,2.309077755217892,42.2730561195527
