服务区编号,单程距离_m,最高地面高程_m,巡航海拔_m,去程爬升_m,去程下降_m,返程爬升_m,返程下降_m,A_往返飞行时间_s,B_往返飞行时间_s,C_往返飞行时间_s
S001,3053.9788435184996,223.05661010742188,273.0566101074219,144.33106994628906,89.09524536132812,89.09524536132812,144.33106994628906,680.1757718120025,578.3764770280526,617.2808629126555
S002,7411.310455084183,258.9542541503906,308.9542541503906,180.2287139892578,90.16001892089844,90.16001892089844,180.2287139892578,1433.5034799814784,1186.459798145339,1231.5245869636983
S003,7263.1792565565,511.80413818359375,561.8041381835938,433.07859802246094,223.29345703125,223.29345703125,433.07859802246094,1691.8693831321382,1449.7634079135883,1559.15875042254
S004,7714.6964491171675,348.2391662597656,398.2391662597656,269.5136260986328,173.1234130859375,173.1234130859375,269.5136260986328,1610.383236921546,1353.2266886176405,1426.9995284817355
S005,5280.606936873044,276.410888671875,326.410888671875,197.6853485107422,127.371337890625,127.371337890625,197.6853485107422,1118.47605950651,942.4558282774085,996.6319426776364
S006,3186.208178413656,316.09783935546875,366.09783935546875,237.37229919433594,60.970611572265625,60.970611572265625,237.37229919433594,749.819497631117,643.6125583506619,693.3363768117622
S007,4534.460566816074,451.8304748535156,501.8304748535156,373.1049346923828,157.60842895507812,157.60842895507812,373.1049346923828,1144.9332278108172,993.7845422502812,1082.2367695248581
S008,8079.033112423187,322.9093322753906,372.9093322753906,244.1837921142578,94.62014770507812,94.62014770507812,244.1837921142578,1594.9617412713776,1325.660637523938,1382.1279608271607
S009,5705.144962277037,243.22891235351562,293.2289123535156,164.5033721923828,73.79182434082031,73.79182434082031,164.5033721923828,1125.6073045038552,935.4358057612872,975.1516718501543
S010,4784.49485164363,385.63653564453125,435.63653564453125,306.91099548339844,84.05487060546875,84.05487060546875,306.91099548339844,1084.1241104057742,924.6409486843199,989.8019263657978
S011,2808.074232681646,243.34902954101562,293.3490295410156,164.6234893798828,85.30616760253906,85.30616760253906,164.6234893798828,651.2941205673837,557.6916461446622,599.3465889750659
S012,7390.491686977874,363.3009948730469,413.3009948730469,284.57545471191406,129.9859161376953,129.9859161376953,284.57545471191406,1535.7602864526925,1289.41056355343,1358.5041253616982
S013,4849.242377230511,349.18182373046875,399.18182373046875,270.45628356933594,47.4737548828125,47.4737548828125,270.45628356933594,1041.3557577366607,879.7143451623103,932.702684904335
S014,5419.60185821314,541.9473876953125,591.9473876953125,463.2218475341797,240.96487426757812,240.96487426757812,463.2218475341797,1419.6705723568125,1239.0171770830411,1356.3816307166674
S015,6009.38297162029,521.7992553710938,571.7992553710938,443.07371520996094,105.57000732421875,105.57000732421875,443.07371520996094,1403.9025584617802,1203.5897927411038,1295.030413163467
